t,nu,mJy,upperlimit,Instrument,Counts,Background,filter
25747200.0,9000000000.0,3.200000000000e-02+-6.000000000000e-03,0.0,b'Radio',-1.0,-1.0,9 GHz
27648000.0,9000000000.0,2.200000000000e-02+-6.000000000000e-03,0.0,b'Radio',-1.0,-1.0,9 GHz
31017600.0,9000000000.0,<6.666666666667e-03,3.0,b'ATCA',-1.0,-1.0,9 GHz
120096.0,10000000000.0,<5.000000000000e-03,3.0,b'Radio',-1.0,-1.0,10 GHz
209088.0,10000000000.0,<5.666666666667e-03,3.0,b'Radio',-1.0,-1.0,10 GHz
473472.0,10000000000.0,<1.000000000000e-02,3.0,b'Radio',-1.0,-1.0,10 GHz
716256.0,10000000000.0,<6.000000000000e-03,3.0,b'Radio',-1.0,-1.0,10 GHz
1158624.0,10000000000.0,<6.000000000000e-03,3.0,b'Radio',-1.0,-1.0,10 GHz
1678752.0,10000000000.0,<5.000000000000e-03,3.0,b'Radio',-1.0,-1.0,10 GHz
19094400.0,10000000000.0,2.800000000000e-02+-7.000000000000e-03,0.0,b'Radio',-1.0,-1.0,10 GHz
209088.0,15000000000.0,<7.333333333333e-03,3.0,b'Radio',-1.0,-1.0,15 GHz
19094400.0,15000000000.0,2.100000000000e-02+-5.000000000000e-03,0.0,b'Radio',-1.0,-1.0,15 GHz
1296000.0,19000000000.0,<1.666666666667e-02,3.0,b'Radio',-1.0,-1.0,19 GHz
1814400.0,19000000000.0,<1.266666666667e-02,3.0,b'Radio',-1.0,-1.0,19 GHz
13824000.0,19000000000.0,<1.200000000000e-02,3.0,b'Radio',-1.0,-1.0,19 GHz
1296000.0,44000000000.0,<3.000000000000e-02,3.0,b'Radio',-1.0,-1.0,44 GHz
172800.0,98000000000.0,<1.666666666667e-02,3.0,b'Radio',-1.0,-1.0,98 GHz
777600.0,98000000000.0,<1.666666666667e-02,3.0,b'Radio',-1.0,-1.0,98 GHz
102384000.0,2100000000.0,<1.700000000000e-02,3.0,b'ATCA',-1.0,-1.0,2.1 GHz
114912000.0,9000000000.0,<1.033333333333e-02,3.0,b'ATCA',-1.0,-1.0,9 GHz
107136000.0,3000000000.0,<1.900000000000e-03,3.0,b'VLA',-1.0,-1.0,3 GHz
109728000.0,15000000000.0,<1.766666666667e-03,3.0,b'VLA',-1.0,-1.0,15 GHz
148950000.0,3000000000.0,<2.000000000000e-03,3.0,b'VLA',-1.0,-1.0,3 GHz
201312.0,,0.00000035271+0.00000000000-0.00000000000,,,,,1 keV
794879.9999999999,,0.00000040433+0.00000012904-0.00000010323,,,,,1 keV
1356480.0,,0.00000048175+0.00000010323-0.00000010323,,,,,1 keV
9391680.0,,0.00000215068+0.00000017205-0.00000017205,,,,,1 keV
13651200.0,,0.00000223670+0.00000017205-0.00000017205,,,,,1 keV
22464000.0,,0.00000120438+0.00000014625-0.00000014625,,,,,1 keV
30983040.000000004,,0.00000077424+0.00000014625-0.00000012904,,,,,1 keV
50284800.0,,0.00000026668+0.00000006022-0.00000007742,,,,,1 keV
64082880.00000001,,0.00000017205+0.00000004301-0.00000006022,,,,,1 keV
81216000.0,,0.00000013764+0.00000004301-0.00000006022,,,,,1 keV
104716800.0,,0.00000019786+0.00000007742-0.00000005162,,,,,1 keV
108432000.0,,0.00000008603+0.00000004301-0.00000004301,,,,,1 keV
141177600.0,,0.00000005162+0.00000002581-0.00000002581,,,,,1 keV
173836800.0,,0.00000004301+0.00000002581-0.00000002581,,,,,1 keV
