time (s),Frequency (Hz),Flux (mJy),Flux error
13392.900070015085,8600000000.0,0.002282901640012222,0.0010608000924451522
19301.92286034654,8600000000.0,0.0024257160952734754,0.0009710228064329763
27818.03971948465,8600000000.0,0.002695933385610002,0.0011328842727361787
40091.51520466351,8600000000.0,0.004230735020912566,0.0025571438186612837
57780.11706122998,8600000000.0,0.00396603754923527,0.0016565044175850903
83273.02948183633,8600000000.0,0.003898539174073538,0.002030302492334689
120013.55815417189,8600000000.0,0.00380620831631973,0.002202503046920789
172964.21458962845,8600000000.0,0.0018374696539948956,0.0008602546498704373
249276.99827194138,8600000000.0,0.0005931037134099552,0.00021657103470519592
359259.41105736414,8600000000.0,0.00026594667292191413,0.00018296963419327098
517766.682558019,8600000000.0,0.0001151048365701462,6.2265006438689e-05
746208.253189868,8600000000.0,3.085488896043539e-05,1.4605904009985796e-05
1075439.528819584,8600000000.0,1.4589900380183394e-05,3.2346058510782964e-06
1549929.4938157229,8600000000.0,5.715522437315365e-06,2.851343725315023e-06
2233767.0984036056,8600000000.0,2.2107728185198922e-06,5.864985702782033e-07
3219317.6978821396,8600000000.0,1.0434490211921446e-06,3.2747693149062764e-07
4639698.761479632,8600000000.0,4.289914112765941e-07,1.5698593350305432e-07
6686759.934080832,8600000000.0,2.8701877805449106e-07,4.5189031673009944e-08
9636996.002251137,8600000000.0,1.221568364842211e-07,8.684575263283425e-08
13888892.80652339,8600000000.0,6.278233258508705e-08,2.1630783059861506e-08
20016750.380101576,8600000000.0,3.7567369150566674e-08,2.0817669647235433e-08
28848253.158891603,8600000000.0,2.1626107570854376e-08,1.076201137627833e-08
41576264.6042089,8600000000.0,1.6102813619681713e-08,3.2186485428605725e-09
59919946.24140365,8600000000.0,5.085520545702106e-09,2.122456219952567e-09
1.0,372000000000000.0,0.0005228838944607185,6.346683614772166e-05
1.4412056208468973,372000000000000.0,0.0006316807463565999,9.211089485638082e-05
2.0770736415606903,372000000000000.0,0.0007562161525173258,5.7893830666198135e-05
2.9934902071302005,372000000000000.0,0.0010048418571168764,9.65135803484703e-05
4.314234912466188,372000000000000.0,0.001185988364120121,0.00011134270170488485
6.217699605500191,372000000000000.0,0.0013204379417460098,4.4308626464292954e-05
8.960983620184411,372000000000000.0,0.0016964055793777702,0.00032077098596068734
12.914619961726748,372000000000000.0,0.0018554390673852894,0.0002776317815681223
18.612622879942133,372000000000000.0,0.002168158161511496,9.190291041363527e-05
26.82461671327616,372000000000000.0,0.0027194007125162178,0.0001782965562385356
38.65978838423723,372000000000000.0,0.0031989952760625947,0.00044794999986218345
